,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Faridabad,Good,44,PM<s>2.5 </s>,1,,2015-06-21
,Hyderabad,Good,40,PM<s>2.5</s>,1,,2015-06-21
,Kanpur,Satisfactory,67,PM<s>2.5</s>,1,,2015-06-21
,Lucknow,Satisfactory,89,"PM<s>2.5,  </s>CO",2,,2015-06-21
,Navi Mumbai,Satisfactory,70,CO,1,,2015-06-21
,Varanasi,Moderate,113,PM<s>10</s>,1,,2015-06-21
,,,,,,,2015-06-21
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-22
,Agra,Good,43,PM<s>2.5</s>,1,,2015-06-22
,Ahmedabad,Good,42,PM<s>2.5</s>,1,,2015-06-22
,Bengaluru +,Satisfactory,96,CO,3,,2015-06-22
,Chennai,Moderate,115,CO,2,,2015-06-22
,Delhi,Moderate,146,"PM<s>2.5, </s>PM<s>10 </s>",6,,2015-06-22
,Faridabad,Satisfactory,64,PM<s>2.5 </s>,1,,2015-06-22
,Hyderabad,Good,37,PM<s>2.5</s>,1,,2015-06-22
,Kanpur,Good,41,PM<s>2.5</s>,1,,2015-06-22
,Lucknow,Moderate,146,"PM<s>2.5,  </s>CO",3,,2015-06-22
,Navi Mumbai,Satisfactory,71,CO,1,,2015-06-22
,Varanasi,Satisfactory,99,PM<s>10</s>,1,,2015-06-22
,,,,,,,2015-06-22
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-23
,Agra,Satisfactory,51,PM<s>2.5</s>,1,,2015-06-23
,Ahmedabad,Satisfactory,53,CO,1,,2015-06-23
,Bengaluru,Good,50,CO,3,,2015-06-23
,Chennai,Moderate,120,"PM<s>2.5,</s>CO",2,,2015-06-23
,Delhi,Moderate,171,PM<s>2.5</s>,6,,2015-06-23
,Faridabad,Satisfactory,74,PM<s>2.5 </s>,1,,2015-06-23
,Hyderabad,Satisfactory,57,PM<s>2.5</s>,1,,2015-06-23
,Kanpur,Satisfactory,57,PM<s>2.5</s>,1,,2015-06-23
,Lucknow,Moderate,101,"PM<s>2.5, </s>CO",3,,2015-06-23
,Navi Mumbai,Satisfactory,73,CO,1,,2015-06-23
,Varanasi,Satisfactory,61,PM<s>10</s>,1,,2015-06-23
,,,,,,,2015-06-23
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-24
,Agra,Good,46,PM<s>2.5</s>,1,,2015-06-24
,Ahmedabad,Good,45,CO,1,,2015-06-24
,Bengaluru,Good,41,PM<s>2.5</s>,1,,2015-06-24
,Delhi,Poor,234,"PM<s>2.5,</s>O3",4+,,2015-06-24
,Faridabad,Moderate,134,PM<s>2.5 </s>,1,,2015-06-24
,Hyderabad,Poor,240,PM<s>2.5</s>,1,,2015-06-24
,Kanpur,Satisfactory,77,PM<s>2.5</s>,1,,2015-06-24
,Lucknow,Satisfactory,67,PM<s>2.5</s>,2!,,2015-06-24
,Navi Mumbai,Satisfactory,70,CO,1,,2015-06-24
,Varanasi,Satisfactory,79,PM<s>10</s>,1,,2015-06-24
,,,,,,,2015-06-24
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-25
,Agra,Good,29,CO,1,,2015-06-25
,Ahmedabad,Satisfactory,70,PM<s>2.5</s>,1,,2015-06-25
,Bangalore,Good,44,CO,2,,2015-06-25
,Chennai,Moderate,137,PM<s>2.5</s>,3,,2015-06-25
,Delhi,Satisfactory,96,O<s>3</s>,3,,2015-06-25
,Faridabad,Satisfactory,98,CO,1,,2015-06-25
,Hyderabad,Good,39,PM<s>2.5</s>,1,,2015-06-25
,Kanpur,Satisfactory,54,CO,1,,2015-06-25
,Lucknow,Satisfactory,67,PM<s>2.5</s>,3,,2015-06-25
,Navi Mumbai,Satisfactory,64,CO,1,,2015-06-25
,Varanasi,Satisfactory,78,PM<s>10</s>,1,,2015-06-25
,,,,,,,2015-06-25
,City,Air Quality,Index Value,Prominent Pollutant,Based on number of monitoring stations,,2015-06-26
,Agra,Satisfactory,84,PM<s>2.5</s>,1,,2015-06-26
,Ahmedabad,Moderate,141,PM<s>2.5</s>,1,,2015-06-26
,Bengaluru,Good,48,"PM<s>2.5, </s>CO",3,,2015-06-26
,Chennai,Moderate,132,PM<s>2.5</s>,3,,2015-06-26
,Delhi,Moderate,167,"PM<s>2.5, </s>PM<s>10 </s>",7,,2015-06-26
,Faridabad,Moderate,138,PM<s>2.5 </s>,1,,2015-06-26
,Hyderabad,Satisfactory,52,PM<s>2.5</s>,1,,2015-06-26
