,City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,
,Poor,254,PM<s>2.5</s>,1,2016-03-15,,
,Moderate,118,PM<s>10</s>,1,2016-03-15,,
,Moderate,160,PM<s>2.5</s>,1,2016-03-15,,
,Moderate,179,PM<s>2.5</s>,2,2016-03-15,,
,Satisfactory,66,PM<s>10</s>,1,2016-03-15,,
,Moderate,110,PM<s>10</s>,1,2016-03-15,,
,Satisfactory,81,CO,1,2016-03-15,,
,Moderate,150,PM<s>2.5</s>,1,2016-03-15,,
,Good,43,PM<s>10</s>,1,2016-03-15,,
,Satisfactory,93,PM<s>10</s>,1,2016-03-15,,
,Moderate,143,PM<s>2.5</s>,1,2016-03-16,,
,Moderate,129,"CO, PM<s>2.5</s>",4,2016-03-16,,
,Satisfactory,54,PM<s>2.5</s>,1,2016-03-16,,
,Moderate,175,PM<s>2.5</s>,3,2016-03-16,,
,Poor,228,PM<s>2.5</s>,2,2016-03-16,,
,Satisfactory,52,PM<s>2.5</s>,1,2016-03-16,,
,Satisfactory,73,PM<s>10</s>,1,2016-03-16,,
,Satisfactory,87,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-16,,
,Poor,236,PM<s>2.5</s>,1,2016-03-16,,
,Moderate,127,PM<s>10</s>,1,2016-03-16,,
,Moderate,127,PM<s>2.5</s>,1,2016-03-16,,
,Moderate,124,PM<s>2.5</s>,3,2016-03-16,,
,Satisfactory,80,PM<s>10</s>,1,2016-03-16,,
,Moderate,111,PM<s>10</s>,1,2016-03-16,,
,Good,44,CO,1,2016-03-16,,
,Good,41,PM<s>10</s>,1,2016-03-16,,
,Satisfactory,100,O<s>3</s>,1,2016-03-16,,
,Moderate,174,PM<s>2.5</s>,1,2016-03-17,,
,Moderate,148,"PM<s>2.5</s>, PM<s>10</s>",4,2016-03-17,,
,Satisfactory,69,PM<s>10</s>,1,2016-03-17,,
,Moderate,173,PM<s>2.5</s>,3,2016-03-17,,
,Poor,225,"PM<s>2.5</s>, O<s>3</s>",4,2016-03-17,,
,Moderate,178,PM<s>2.5</s>,1,2016-03-17,,
,Satisfactory,61,PM<s>2.5</s>,1,2016-03-17,,
,Moderate,101,PM<s>10</s>,1,2016-03-17,,
,Satisfactory,80,PM<s>2.5</s>,<s>#</s>1,2016-03-17,,
,Poor,211,PM<s>10</s>,<s>#</s>1,2016-03-17,,
,Poor,238,PM<s>2.5</s>,1,2016-03-17,,
,Moderate,180,PM<s>2.5</s>,1,2016-03-17,,
,Moderate,140,PM<s>2.5</s>,2,2016-03-17,,
,Moderate,122,PM<s>10</s>,1,2016-03-17,,
,Moderate,169,PM<s>2.5</s>,1,2016-03-17,,
,Moderate,106,CO,1,2016-03-17,,
,Good,44,PM<s>2.5</s>,1,2016-03-17,,
,Moderate,117,PM<s>2.5</s>,1,2016-03-17,,
,Moderate,112,O<s>3</s>,1,2016-03-17,,
,Moderate,110,PM<s>2.5</s>,1,2016-03-18,,
,Moderate,151,"PM<s>2.5</s>, PM<s>10</s>",5,2016-03-18,,
,Satisfactory,88,PM<s>10</s>,<s>#</s>1,2016-03-18,,
,Moderate,185,PM<s>2.5</s>,<s>#</s>3,2016-03-18,,
,Moderate,197,"PM<s>2.5</s>, O<s>3</s>",5,2016-03-18,,
,Moderate,186,PM<s>2.5</s>,1,2016-03-18,,
,Moderate,116,PM<s>2.5</s>,1,2016-03-18,,
,Moderate,115,PM<s>10</s>,1,2016-03-18,,
,Satisfactory,88,PM<s>2.5</s>,1,2016-03-18,,
,Moderate,142,PM<s>10</s>,1,2016-03-18,,
,Moderate,196,PM<s>2.5</s>,1,2016-03-18,,
,Moderate,159,PM<s>2.5</s>,1,2016-03-18,,
,Moderate,195,"O<s>3</s>, PM<s>2.5</s>",2,2016-03-18,,
,Moderate,112,PM<s>10</s>,1,2016-03-18,,
,Poor,243,PM<s>2.5</s>,1,2016-03-18,,
,Moderate,109,CO,1,2016-03-18,,
,Satisfactory,60,CO,1,2016-03-18,,
,Moderate,123,O<s>3</s>,1,2016-03-18,,
,Very Poor,344,PM<s>2.5</s>,1,2016-03-18,,
,Poor,210,PM<s>2.5</s>,1,2016-03-19,,
,Poor,222,PM<s>2.5</s>,1,2016-03-19,,
,Moderate,159,PM<s>10</s>,1,2016-03-19,,
,Moderate,192,"PM<s>2.5</s>, CO",3,2016-03-19,,
,Poor,250,"PM<s>2.5</s>, PM<s>10</s>",4,2016-03-19,,
,Poor,207,PM<s>2.5</s>,1,2016-03-19,,
,Moderate,123,PM<s>2.5</s>,1,2016-03-19,,
,Satisfactory,92,PM<s>2.5</s>,1,2016-03-19,,
,Moderate,149,PM<s>10</s>,1,2016-03-19,,
,Moderate,193,PM<s>2.5</s>,1,2016-03-19,,
,Poor,225,PM<s>2.5</s>,1,2016-03-19,,
,Moderate,163,PM<s>2.5</s>,1,2016-03-19,,
,Satisfactory,99,PM<s>10</s>,1,2016-03-19,,
,Poor,266,PM<s>2.5</s>,<s>#</s>1,2016-03-19,,
,Moderate,109,CO,1,2016-03-19,,
,Good,31,PM<s>10</s>,<s>#</s>1,2016-03-19,,
,Moderate,119,PM<s>10</s>,1,2016-03-19,,
,Moderate,196,PM<s>2.5</s>,1,2016-03-20,,
,Poor,241,"PM<s>2.5</s>, PM<s>10</s>",2,2016-03-20,,
,Poor,208,PM<s>10</s>,1,2016-03-20,,
,Moderate,172,PM<s>2.5</s>,2,2016-03-20,,
,Poor,264,"PM<s>2.5</s>, O<s>3</s>",3,2016-03-20,,
,Poor,221,PM<s>2.5</s>,1,2016-03-20,,
,Moderate,192,O<s>3</s>,1,2016-03-20,,
,Moderate,121,PM<s>2.5</s>,1,2016-03-20,,
,Poor,205,PM<s>10</s>,1,2016-03-20,,
,Poor,239,PM<s>2.5</s>,1,2016-03-20,,
,Moderate,185,PM<s>2.5</s>,<s>#</s>1,2016-03-20,,
,Moderate,195,PM<s>2.5</s>,3,2016-03-20,,
,Moderate,102,CO,1,2016-03-20,,
,Good,45,CO,<s>#</s>1,2016-03-20,,
,Moderate,126,PM<s>10</s>,1,2016-03-20,,
,Moderate,153,PM<s>2.5</s>,1,2016-03-21,,
,Poor,201,"PM<s>2.5</s>, PM<s>10</s>",3,2016-03-21,,
,Very Poor,351,PM<s>10</s>,1,2016-03-21,,
,Poor,250,PM<s>2.5</s>,3,2016-03-21,,
,Moderate,189,"PM<s>2.5</s>, PM<s>10</s>",5,2016-03-21,,
,Moderate,124,PM<s>2.5</s>,1,2016-03-21,,
,Satisfactory,86,PM<s>2.5</s>,1,2016-03-21,,
,Moderate,106,PM<s>2.5</s>,1,2016-03-21,,
,Moderate,168,PM<s>10</s>,1,2016-03-21,,
,Poor,224,PM<s>2.5</s>,1,2016-03-21,,
,Moderate,161,PM<s>2.5</s>,1,2016-03-21,,
,Moderate,197,PM<s>2.5</s>,3,2016-03-21,,
,Moderate,114,PM<s>10</s>,1,2016-03-21,,
,Moderate,102,CO,1,2016-03-21,,
,Good,35,O<s>3</s>,1,2016-03-21,,
,Moderate,121,PM<s>10</s>,1,2016-03-21,,
,Satisfactory,57,PM<s>2.5</s>,1,2016-03-22,,
,Moderate,109,"PM<s>2.5</s>, NO<s>2</s>",<s>#</s>4,2016-03-22,,
,Moderate,143,PM<s>2.5</s>,3,2016-03-22,,
,Poor,206,"PM<s>2.5</s>, PM<s>10</s>",5,2016-03-22,,
,Satisfactory,58,PM<s>2.5</s>,1,2016-03-22,,
,Moderate,104,PM<s>10</s>,1,2016-03-22,,
,Moderate,101,PM<s>10</s>,1,2016-03-22,,
,Moderate,122,PM<s>10</s>,1,2016-03-22,,
,Moderate,115,PM<s>10</s>,1,2016-03-22,,
,Moderate,135,PM<s>2.5</s>,3,2016-03-22,,
,Moderate,168,PM<s>10</s>,1,2016-03-22,,
,Moderate,102,CO,1,2016-03-22,,
,Good,39,PM<s>2.5</s>,1,2016-03-22,,
,Satisfactory,83,PM<s>2.5</s>,1,2016-03-22,,
,Good,36,PM<s>10</s>,1,2016-03-22,,
,Moderate,117,O<s>3</s>,1,2016-03-22,,
,Satisfactory,73,PM<s>2.5</s>,1,2016-03-23,,
,Moderate,106,"PM<s>2.5</s>, O<s>3</s>",2,2016-03-23,,
,Moderate,147,PM<s>2.5</s>,3,2016-03-23,,
,Poor,212,"O<s>3</s>, PM<s>2.5</s>",2,2016-03-23,,
,Satisfactory,78,PM<s>2.5</s>,1,2016-03-23,,
,Satisfactory,62,PM<s>2.5</s>,1,2016-03-23,,
,Moderate,125,PM<s>10</s>,1,2016-03-23,,
,Moderate,101,PM<s>10</s>,1,2016-03-23,,
,Moderate,154,PM<s>10</s>,1,2016-03-23,,
,Moderate,175,PM<s>2.5</s>,1,2016-03-23,,
,Moderate,123,PM<s>2.5</s>,1,2016-03-23,,
,Moderate,115,PM<s>10</s>,1,2016-03-23,,
,Moderate,149,PM<s>2.5</s>,1,2016-03-23,,
,Moderate,106,PM<s>2.5</s>,1,2016-03-23,,
,Satisfactory,57,CO,1,2016-03-23,,
,Poor,232,PM<s>2.5</s>,1,2016-03-23,,
,Moderate,126,PM<s>10</s>,1,2016-03-23,,
,Moderate,194,PM<s>2.5</s>,<s>#</s>1,2016-03-24,,
,Moderate,157,"PM<s>10</s>, NO<s>2</s>",2,2016-03-24,,
,Poor,210,PM<s>2.5</s>,<s>#</s>1,2016-03-24,,
,Very Poor,308,O<s>3</s>,2,2016-03-24,,
,Poor,286,PM<s>2.5</s>,<s>#</s>1,2016-03-24,,
,Satisfactory,82,PM<s>2.5</s>,1,2016-03-24,,
,Moderate,138,PM<s>10</s>,1,2016-03-24,,
,Moderate,145,PM<s>2.5</s>,2,2016-03-24,,
,Moderate,127,PM<s>2.5</s>,1,2016-03-24,,
,Moderate,188,PM<s>2.5</s>,1,2016-03-24,,
,Poor,214,PM<s>2.5</s>,<s>#</s>1,2016-03-24,,
,Poor,239,"O<s>3</s>, PM<s>2.5</s>",2,2016-03-24,,
,Poor,202,PM<s>2.5</s>,1,2016-03-24,,
,Moderate,102,CO,1,2016-03-24,,
,Satisfactory,59,O<s>3</s>,1,2016-03-24,,
,Good,40,PM<s>10</s>,1,2016-03-24,,
,Moderate,147,PM<s>10</s>,1,2016-03-24,,
,Poor,220,PM<s>2.5</s>,1,2016-03-25,,
,Moderate,156,PM<s>10</s>,<s>#</s>2,2016-03-25,,
,Poor,300,O<s>3</s>,2,2016-03-25,,
,Poor,280,PM<s>2.5</s>,1,2016-03-25,,
,Satisfactory,100,PM<s>10</s>,1,2016-03-25,,
,Moderate,143,PM<s>2.5</s>,2,2016-03-25,,
,Moderate,134,PM<s>10</s>,<s>#</s>1,2016-03-25,,
,Moderate,142,PM<s>2.5</s>,1,2016-03-25,,
,Poor,250,"O<s>3</s>, PM<s>2.5</s>",3,2016-03-25,,
,Moderate,116,PM<s>10</s>,1,2016-03-25,,
,Moderate,186,PM<s>2.5</s>,1,2016-03-25,,
,Moderate,102,CO,1,2016-03-25,,
,Satisfactory,54,O<s>3</s>,1,2016-03-25,,
,Moderate,198,PM<s>2.5</s>,<s>#</s>1,2016-03-25,,
,Good,42,O<s>3</s>,<s>#</s>1,2016-03-25,,
,Moderate,134,PM<s>10</s>,1,2016-03-25,,
,Moderate,164,PM<s>2.5</s>,1,2016-03-26,,
,Moderate,144,PM<s>10</s>,1,2016-03-26,,
,Moderate,197,PM<s>2.5</s>,1,2016-03-26,,
,Moderate,179,"PM<s>2.5</s>, PM<s>10</s>",<s>#</s>2,2016-03-26,,
,Moderate,167,PM<s>2.5</s>,1,2016-03-26,,
,Moderate,130,PM<s>2.5</s>,1,2016-03-26,,
,Moderate,120,PM<s>2.5</s>,2,2016-03-26,,
,Moderate,143,PM<s>10</s>,1,2016-03-26,,
,Poor,226,PM<s>2.5</s>,1,2016-03-26,,
,Poor,202,PM<s>2.5</s>,1,2016-03-26,,
,Moderate,132,PM<s>10</s>,1,2016-03-26,,
,Poor,269,PM<s>2.5</s>,1,2016-03-26,,
,Moderate,102,CO,1,2016-03-26,,
,Moderate,166,PM<s>2.5</s>,<s>#</s>1,2016-03-26,,
,Good,44,PM<s>10</s>,<s>#</s>1,2016-03-26,,
,Moderate,131,PM<s>10</s>,1,2016-03-26,,
,Very Poor,315,PM<s>10</s>,1,2016-03-26,,
,Satisfactory,82,PM<s>2.5</s>,1,2016-03-27,,
,Moderate,157,PM<s>10</s>,2,2016-03-27,,
,Moderate,179,"O<s>3</s>, PM<s>10</s>",<s>#</s>2,2016-03-27,,
,Moderate,173,PM<s>2.5</s>,1,2016-03-27,,
,Moderate,113,PM<s>2.5</s>,1,2016-03-27,,
,Moderate,136,PM<s>2.5</s>,2,2016-03-27,,
,Moderate,127,PM<s>10</s>,<s>#</s>1,2016-03-27,,
,Poor,280,PM<s>2.5</s>,1,2016-03-27,,
,Moderate,103,CO,1,2016-03-27,,
,Good,43,PM<s>10</s>,1,2016-03-27,,
,Moderate,123,PM<s>10</s>,1,2016-03-27,,
,Very Poor,302,PM<s>10</s>,1,2016-03-27,,
,Moderate,156,PM<s>2.5</s>,1,2016-03-28,,
,Moderate,131,"PM<s>2.5</s>, PM<s>10</s>",5,2016-03-28,,
,Moderate,106,"PM<s>2.5</s>, O<s>3</s>",3,2016-03-28,,
,Poor,251,"PM<s>2.5</s>, O<s>3</s>",4,2016-03-28,,
,Satisfactory,72,PM<s>2.5</s>,<s>#</s>1,2016-03-28,,
,Satisfactory,80,PM<s>10</s>,1,2016-03-28,,
,Moderate,115,PM<s>2.5</s>,2,2016-03-28,,
,Satisfactory,92,PM<s>10</s>,1,2016-03-28,,
,Moderate,160,PM<s>2.5</s>,3,2016-03-28,,
,Moderate,116,PM<s>10</s>,1,2016-03-28,,
,Poor,204,PM<s>2.5</s>,1,2016-03-28,,
,Moderate,102,CO,1,2016-03-28,,
,Moderate,192,PM<s>2.5</s>,1,2016-03-28,,
,Good,45,PM<s>10</s>,<s>#</s>1,2016-03-28,,
,Moderate,107,PM<s>10</s>,<s>#</s>1,2016-03-28,,
,Moderate,179,PM<s>10</s>,1,2016-03-28,,
,Moderate,150,PM<s>2.5</s>,<s>#</s>1,2016-03-29,,
,Moderate,115,"PM<s>2.5</s>, O<s>3</s>",5,2016-03-29,,
,Moderate,118,"CO, PM<s>2.5</s>",2,2016-03-29,,
,Poor,285,O<s>3</s>,2,2016-03-29,,
,Moderate,128,PM<s>2.5</s>,1,2016-03-29,,
,Satisfactory,86,PM<s>2.5</s>,1,2016-03-29,,
,Moderate,111,PM<s>10</s>,1,2016-03-29,,
,Moderate,107,PM<s>2.5</s>,2,2016-03-29,,
,Moderate,121,PM<s>10</s>,1,2016-03-29,,
,Moderate,145,"PM<s>2.5</s>, O<s>3</s>",3,2016-03-29,,
,Moderate,102,PM<s>2.5</s>,1,2016-03-29,,
,Moderate,159,PM<s>2.5</s>,1,2016-03-29,,
,Good,38,PM<s>10</s>,1,2016-03-29,,
,Moderate,121,PM<s>2.5</s>,1,2016-03-29,,
,Moderate,116,"PM<s>2.5</s>, PM<s>10</s>",4,2016-03-30,,
,Moderate,110,PM<s>10</s>,1,2016-03-30,,
,Moderate,109,PM<s>2.5</s>,3,2016-03-30,,
,Poor,260,PM<s>2.5</s>,2,2016-03-30,,
,Poor,228,PM<s>2.5</s>,1,2016-03-30,,
,Satisfactory,85,PM<s>2.5</s>,1,2016-03-30,,
,Satisfactory,86,PM<s>10</s>,1,2016-03-30,,
,Moderate,104,PM<s>2.5</s>,2,2016-03-30,,
,Poor,276,PM<s>2.5</s>,1,2016-03-30,,
,Poor,250,PM<s>10</s>,1,2016-03-30,,
,Moderate,191,"PM<s>2.5</s>, O<s>3</s>",3,2016-03-30,,
,Satisfactory,97,PM<s>10</s>,1,2016-03-30,,
,Poor,247,PM<s>2.5</s>,1,2016-03-30,,
,Satisfactory,76,PM<s>2.5</s>,1,2016-03-30,,
,Moderate,119,PM<s>10</s>,1,2016-03-30,,
,Very Poor,314,PM<s>10</s>,<s>#</s>1,2016-03-30,,
,Moderate,143,"CO, PM<s>2.5</s>",4,2016-03-31,,
,Moderate,127,PM<s>10</s>,1,2016-03-31,,
,Satisfactory,54,PM<s>2.5</s>,<s>#</s>2,2016-03-31,,
,Poor,269,"PM<s>2.5</s>, PM<s>10</s>",5,2016-03-31,,
,Poor,274,PM<s>2.5</s>,1,2016-03-31,,
,Satisfactory,93,PM<s>2.5</s>,1,2016-03-31,,
,Very Poor,367,PM<s>2.5</s>,<s>#</s>1,2016-03-31,,
,Satisfactory,56,PM<s>10</s>,1,2016-03-31,,
,Satisfactory,88,PM<s>10</s>,1,2016-03-31,,
,Poor,222,PM<s>2.5</s>,1,2016-03-31,,
,Moderate,168,PM<s>10</s>,1,2016-03-31,,
,Moderate,179,"O<s>3</s>, PM<s>2.5</s>",3,2016-03-31,,
,Satisfactory,85,PM<s>10</s>,1,2016-03-31,,
,Moderate,170,PM<s>2.5</s>,1,2016-03-31,,
,Poor,246,PM<s>2.5</s>,1,2016-03-31,,
,Moderate,113,PM<s>10</s>,1,2016-03-31,,
,Poor,260,PM<s>10</s>,1,2016-03-31,,
,Moderate,143,"CO, PM<s>2.5</s>",4,2016-04-01,,
,Moderate,127,PM<s>10</s>,1,2016-04-01,,
,Satisfactory,54,PM<s>2.5</s>,<s>#</s>2,2016-04-01,,
,Poor,269,"PM<s>2.5</s>, PM<s>10</s>",5,2016-04-01,,
,Poor,274,PM<s>2.5</s>,1,2016-04-01,,
,Satisfactory,93,PM<s>2.5</s>,1,2016-04-01,,
,Very Poor,367,PM<s>2.5</s>,<s>#</s>1,2016-04-01,,
,Satisfactory,56,PM<s>10</s>,1,2016-04-01,,
,Satisfactory,88,PM<s>10</s>,1,2016-04-01,,
,Poor,222,PM<s>2.5</s>,1,2016-04-01,,
,Moderate,168,PM<s>10</s>,1,2016-04-01,,
,Moderate,179,"O<s>3</s>, PM<s>2.5</s>",3,2016-04-01,,
,Satisfactory,85,PM<s>10</s>,1,2016-04-01,,
,Moderate,170,PM<s>2.5</s>,1,2016-04-01,,
,Poor,246,PM<s>2.5</s>,1,2016-04-01,,
,Moderate,113,PM<s>10</s>,1,2016-04-01,,
,Poor,260,PM<s>10</s>,1,2016-04-01,,
,Moderate,157,PM<s>2.5</s>,1,2016-04-02,,
,Moderate,105,"PM<s>2.5</s>, NO<s>2</s>",3,2016-04-02,,
,Moderate,159,PM<s>10</s>,1,2016-04-02,,
,Moderate,132,PM<s>2.5</s>,1,2016-04-02,,
,Poor,270,PM<s>2.5</s>,1,2016-04-02,,
,Poor,208,PM<s>2.5</s>,1,2016-04-02,,
,Satisfactory,100,PM<s>2.5</s>,<s>#</s>1,2016-04-02,,
,Poor,231,PM<s>10</s>,1,2016-04-02,,
,Moderate,161,PM<s>2.5</s>,1,2016-04-02,,
,Poor,278,PM<s>2.5</s>,1,2016-04-02,,
,Satisfactory,59,PM<s>10</s>,1,2016-04-02,,
,Satisfactory,60,PM<s>2.5</s>,1,2016-04-02,,
,Moderate,102,CO,1,2016-04-02,,
,Moderate,138,PM<s>10</s>,1,2016-04-02,,
,Moderate,188,PM<s>10</s>,1,2016-04-02,,
,Poor,214,PM<s>2.5</s>,1,2016-04-03,,
,Moderate,123,"PM<s>2.5</s>, PM<s>10</s>",2,2016-04-03,,
,Moderate,133,PM<s>10</s>,1,2016-04-03,,
,Moderate,124,PM<s>2.5</s>,1,2016-04-03,,
,Very Poor,314,O<s>3</s>,1,2016-04-03,,
,Poor,235,PM<s>2.5</s>,1,2016-04-03,,
,Satisfactory,99,PM<s>10</s>,1,2016-04-03,,
,Poor,207,PM<s>2.5</s>,<s>#</s>1,2016-04-03,,
,Moderate,170,PM<s>2.5</s>,1,2016-04-03,,
,Poor,282,PM<s>2.5</s>,<s>#</s>1,2016-04-03,,
,Moderate,167,PM<s>2.5</s>,1,2016-04-03,,
,Moderate,102,CO,1,2016-04-03,,
,Good,34,O<s>3</s>,1,2016-04-03,,
,Poor,206,PM<s>2.5</s>,1,2016-04-04,,
,Moderate,136,"PM<s>2.5</s>, PM<s>10</s>",3,2016-04-04,,
,Moderate,119,PM<s>10</s>,1,2016-04-04,,
,Moderate,135,PM<s>2.5</s>,1,2016-04-04,,
,Poor,287,PM<s>2.5</s>,2,2016-04-04,,
,Moderate,129,O<s>3</s>,1,2016-04-04,,
,Good,43,PM<s>10</s>,1,2016-04-04,,
,Moderate,106,"PM<s>2.5</s>, PM<s>10</s>",2,2016-04-04,,
,Moderate,159,PM<s>10</s>,1,2016-04-04,,
,Moderate,166,PM<s>2.5</s>,1,2016-04-04,,
,Very Poor,363,PM<s>2.5</s>,1,2016-04-04,,
,Satisfactory,82,PM<s>10</s>,1,2016-04-04,,
,Very Poor,396,PM<s>2.5</s>,<s>#</s>1,2016-04-04,,
,Moderate,102,CO,1,2016-04-04,,
,Moderate,186,PM<s>2.5</s>,1,2016-04-04,,
,Poor,222,PM<s>10</s>,1,2016-04-04,,
,Moderate,114,"PM<s>2.5</s>, PM<s>10</s>",4,2016-04-05,,
,Satisfactory,96,PM<s>2.5</s>,2,2016-04-05,,
,Poor,251,PM<s>2.5</s>,2,2016-04-05,,
,Satisfactory,82,PM<s>2.5</s>,1,2016-04-05,,
,Satisfactory,55,PM<s>10</s>,1,2016-04-05,,
,Moderate,108,PM<s>10</s>,1,2016-04-05,,
,Moderate,147,PM<s>2.5</s>,1,2016-04-05,,
,Poor,275,PM<s>2.5</s>,3,2016-04-05,,
,Satisfactory,89,PM<s>10</s>,1,2016-04-05,,
,Moderate,110,PM<s>10</s>,1,2016-04-05,,
,Moderate,102,CO,1,2016-04-05,,
,Satisfactory,56,CO,1,2016-04-05,,
,Poor,225,PM<s>2.5</s>,1,2016-04-05,,
,Moderate,111,"PM<s>2.5</s>, NO<s>2</s>",4,2016-04-06,,
,Moderate,152,PM<s>2.5</s>,3,2016-04-06,,
,Poor,241,PM<s>2.5</s>,2,2016-04-06,,
,Moderate,134,PM<s>10</s>,<s>#</s>1,2016-04-06,,
,Poor,260,PM<s>2.5</s>,3,2016-04-06,,
,Satisfactory,64,PM<s>10</s>,1,2016-04-06,,
,Moderate,176,PM<s>2.5</s>,<s>#</s>1,2016-04-06,,
,Moderate,102,CO,<s>#</s>1,2016-04-06,,
,Satisfactory,68,CO,<s>#</s>1,2016-04-06,,
,Moderate,109,CO,1,2016-04-06,,
,Poor,244,"O<s>3</s>, PM<s>2.5</s>",3,2016-04-07,,
,Satisfactory,91,PM<s>10</s>,<s>#</s>1,2016-04-07,,
,Moderate,132,"PM<s>2.5</s>, CO",3,2016-04-07,,
,Poor,280,"PM<s>2.5</s>, PM<s>10</s>",3,2016-04-07,,
,Satisfactory,85,"PM<s>2.5</s>, PM<s>10</s>",2,2016-04-07,,
,Poor,229,PM<s>2.5</s>,1,2016-04-07,,
,Poor,233,PM<s>2.5</s>,3,2016-04-07,,
,Satisfactory,64,PM<s>10</s>,1,2016-04-07,,
,Moderate,102,PM<s>2.5</s>,1,2016-04-07,,
,Satisfactory,57,PM<s>10</s>,1,2016-04-07,,
,Moderate,115,PM<s>2.5</s>,<s>#</s>1,2016-04-07,,
,Poor,290,PM<s>10</s>,<s>#</s>1,2016-04-07,,
,Moderate,192,PM<s>2.5</s>,1,2016-04-08,,
,Moderate,194,"PM<s>2.5</s>, CO",4,2016-04-08,,
,Moderate,129,"CO, PM<s>2.5</s>",2,2016-04-08,,
,Poor,206,"PM<s>2.5</s>, PM<s>10</s>",3,2016-04-08,,
,Moderate,123,PM<s>2.5</s>,1,2016-04-08,,
,Good,44,PM<s>2.5</s>,<s>#</s>1,2016-04-08,,
,Satisfactory,68,PM<s>10</s>,1,2016-04-08,,
,Satisfactory,85,PM<s>10</s>,1,2016-04-08,,
,Moderate,144,PM<s>10</s>,1,2016-04-08,,
,Moderate,145,PM<s>10</s>,1,2016-04-08,,
,Poor,286,PM<s>2.5</s>,1,2016-04-08,,
,Poor,247,PM<s>2.5</s>,3,2016-04-08,,
,Satisfactory,79,PM<s>10</s>,1,2016-04-08,,
,Moderate,103,CO,1,2016-04-08,,
,Moderate,118,PM<s>2.5</s>,<s>#</s>1,2016-04-08,,
,Moderate,101,CO,1,2016-04-08,,
,Moderate,130,PM<s>2.5</s>,1,2016-04-09,,
,Moderate,127,"PM<s>2.5</s>, PM<s>10</s>",3,2016-04-09,,
,Satisfactory,86,PM<s>10</s>,1,2016-04-09,,
,Poor,205,PM<s>2.5</s>,1,2016-04-09,,
,Poor,296,PM<s>2.5</s>,3,2016-04-09,,
,Satisfactory,67,PM<s>2.5</s>,1,2016-04-09,,
,Satisfactory,72,PM<s>10</s>,1,2016-04-09,,
,Moderate,149,PM<s>10</s>,1,2016-04-09,,
,Moderate,120,PM<s>10</s>,1,2016-04-09,,
,Moderate,132,PM<s>2.5</s>,1,2016-04-09,,
,Satisfactory,66,PM<s>10</s>,1,2016-04-09,,
,Satisfactory,97,PM<s>2.5</s>,1,2016-04-09,,
,Moderate,101,CO,1,2016-04-09,,
,Moderate,133,PM<s>2.5</s>,1,2016-04-09,,
,Moderate,109,CO,1,2016-04-09,,
,Poor,270,PM<s>10</s>,1,2016-04-09,,
,Moderate,134,PM<s>10</s>,2,2016-04-10,,
,Poor,253,"PM<s>2.5</s>, O<s>3</s>",3,2016-04-10,,
,Good,46,PM<s>2.5</s>,1,2016-04-10,,
,Satisfactory,75,PM<s>10</s>,1,2016-04-10,,
,Moderate,145,PM<s>10</s>,1,2016-04-10,,
,Moderate,190,PM<s>2.5</s>,1,2016-04-10,,
,Poor,230,PM<s>10</s>,1,2016-04-10,,
,Moderate,157,PM<s>2.5</s>,1,2016-04-11,,
,Satisfactory,96,"PM<s>2.5</s>, O<s>3</s>",5,2016-04-11,,
,Moderate,140,"PM<s>2.5</s>, O<s>3</s>",3,2016-04-11,,
,Poor,256,"PM<s>2.5</s>, PM<s>10</s>",4,2016-04-11,,
,Moderate,199,PM<s>2.5</s>,1,2016-04-11,,
,Satisfactory,66,PM<s>2.5</s>,1,2016-04-11,,
,Moderate,171,PM<s>2.5</s>,<s>#</s>1,2016-04-11,,
,Satisfactory,79,PM<s>10</s>,1,2016-04-11,,
,Satisfactory,93,PM<s>10</s>,1,2016-04-11,,
,Moderate,148,PM<s>10</s>,1,2016-04-11,,
,Poor,237,PM<s>10</s>,1,2016-04-11,,
,Very Poor,382,PM<s>2.5</s>,1,2016-04-11,,
,Very Poor,302,PM<s>2.5</s>,2,2016-04-11,,
,Satisfactory,84,PM<s>10</s>,1,2016-04-11,,
,Moderate,126,PM<s>2.5</s>,1,2016-04-11,,
,Moderate,133,PM<s>2.5</s>,1,2016-04-11,,
,Poor,261,PM<s>10</s>,1,2016-04-11,,
,Satisfactory,96,PM<s>2.5</s>,1,2016-04-12,,
,Moderate,154,"PM<s>2.5</s>, PM<s>10</s>",2,2016-04-12,,
,Moderate,154,PM<s>10</s>,1,2016-04-12,,
,Moderate,123,"PM<s>2.5</s>, O<s>3</s>",3,2016-04-12,,
,Poor,213,"PM<s>2.5</s>, PM<s>10</s>",6,2016-04-12,,
,Moderate,111,PM<s>2.5</s>,1,2016-04-12,,
,Satisfactory,61,PM<s>2.5</s>,1,2016-04-12,,
,Moderate,146,PM<s>2.5</s>,<s>#</s>1,2016-04-12,,
,Moderate,108,PM<s>10</s>,1,2016-04-12,,
,Satisfactory,90,"PM<s>2.5</s>, PM<s>10</s>",<s>#</s>2,2016-04-12,,
,Moderate,125,PM<s>2.5</s>,1,2016-04-12,,
,Moderate,132,PM<s>2.5</s>,1,2016-04-12,,
,Poor,255,PM<s>2.5</s>,2,2016-04-12,,
,Satisfactory,77,PM<s>10</s>,1,2016-04-12,,
,Satisfactory,84,PM<s>2.5</s>,1,2016-04-12,,
